iso2,country,authority,roles,website,access_state,http_status,final_url,title,candidate_link_count,candidate_urls,error
BA,Bosnia and Herzegovina,Banking Agency of Republika Srpska,prudential_supervision,https://www.abrs.ba/?lang=en,reachable,200,https://abrs.ba/?lang=en,Агенција за банкарство Републике Српске,0,,
BA,Bosnia and Herzegovina,Banking Agency of the Federation of Bosnia and Herzegovina,prudential_supervision,http://www.fba.ba/?lang=en,network-error,,http://www.fba.ba/?lang=en,,0,,fetch failed
BA,Bosnia and Herzegovina,Central Bank of Bosnia and Herzegovina,central_banking,http://www.cbbh.ba/?lang=en,challenge-protected,200,https://www.cbbh.ba/?lang=en,The Central Bank of Bosnia and Herzegovina,3,http://fined.cbbh.ba/;https://www.cbbh.ba/press/ShowNews/1797;https://www.cbbh.ba/Home/GetTableAttachment?contentId=24076a97-9d4f-41fc-b3a7-466110bbd695&lang=en,
BA,Bosnia and Herzegovina,Financial Intelligence Department (FID),financial_intelligence,http://www.sipa.gov.ba/en/about-us/structure/organisational-structure/financial-intelligence-department,reachable,200,http://www.sipa.gov.ba/en/about-us/structure/organisational-structure/financial-intelligence-department,Financial Intelligence Department - SIPA.GOV.BA,0,,
BA,Bosnia and Herzegovina,Insurance Agency of Bosnia and Herzegovina,insurance,https://www.azobih.gov.ba/Default.aspx?langTag=en-US&template_id=206&pageIndex=1,network-error,,https://www.azobih.gov.ba/Default.aspx?langTag=en-US&template_id=206&pageIndex=1,,0,,fetch failed
BA,Bosnia and Herzegovina,Insurance Agency of Republic of Srpska,insurance,https://www.azors.rs.ba/,reachable,200,https://azors.rs.ba/sr/,Агенција за осигурање Републике Српске – Агенција за осигурање Републике Српске има регулаторну и надзорну функцију у циљу заштите лица која имају право на осигуравајуће покриће и накнаду из осигурања као и добробит индустрије осигурања.,0,,
BA,Bosnia and Herzegovina,Insurance Supervision Agency of Federation of Bosnia and Herzegovina,insurance,,no-public-website,,,,0,,
BA,Bosnia and Herzegovina,Securities Commission of the Federation of Bosnia and Herzegovina,securities,http://www.komvp.gov.ba/,reachable,200,https://www.komvp.gov.ba/,Komisija za vrijednosne papire FBiH,0,,
BA,Bosnia and Herzegovina,Securities Commission of the Republic Srpska,securities,http://www.secrs.gov.ba/,reachable,200,https://www.secrs.gov.ba/,Komisija za hartije od vrijednosti Republike Srpske,0,,
BW,Botswana,Bank of Botswana,central_banking;prudential_supervision,http://www.bankofbotswana.bw/,reachable,200,http://www.bankofbotswana.bw/,Home | Bank of Botswana,1,http://www.bankofbotswana.bw/sites/default/files/press-release-files/Public%20Notice%20-%20Lower%20Denomination%20Coin%20Cirulation.pdf,
BW,Botswana,Financial Intelligence Unit (FIU) - Botswana,financial_intelligence,https://www.finance.gov.bw/index.php?Itemid=159&option=com_content&view=categories&id=36,reachable,200,https://www.finance.gov.bw/index.php?Itemid=159&option=com_content&view=categories&id=36,Financial Intelligence Agency - Ministry of Finance,1,https://www.finance.gov.bw/index.php?Itemid=466&option=com_content&view=category&id=58,
BW,Botswana,Non-Bank Financial Institutions Regulatory Authority (NBFIRA),insurance;pensions,http://www.nbfira.org.bw/,reachable,200,https://www.nbfira.org.bw/,NBFIRA - The Non-Bank Financial Institutions Regulatory Authority,1,https://www.nbfira.org.bw/news/notice-of-evaluated-technical-bids-tender-no-nbfira-001-26-27/,
BR,Brazil,Brazilian Pension Funds Authority,pensions,https://www.gov.br/previc,challenge-protected,200,https://www.gov.br/previc/pt-br,Previc,1,https://www.gov.br/previc/pt-br/acesso-a-informacao-1/sancoes-administrativas,
BR,Brazil,Central Bank of Brazil,central_banking;prudential_supervision,https://www.bcb.gov.br/en,reachable,200,https://www.bcb.gov.br/en,Banco Central do Brasil,0,,
BR,Brazil,Comissão de Valores Mobiliários*,securities,http://www.cvm.gov.br/,challenge-protected,200,https://www.gov.br/cvm/pt-br,Página Inicial — Comissão de Valores Mobiliários,2,https://www.gov.br/cvm/pt-br/assuntos/regulados/multa-cominatoria-recurso;https://www.gov.br/cvm/pt-br/centrais-de-conteudo/publicacoes/relatorios/relatorio-de-atividade-sancionadora,
BR,Brazil,Council for Financial Activities Control (COAF),financial_intelligence,https://www.coaf.fazenda.gov.br/,timeout,,https://www.coaf.fazenda.gov.br/,,0,,The operation was aborted due to timeout
BR,Brazil,Superintendencia de Seguros Privados (SUSEP),insurance,http://www.susep.gov.br/,timeout,,http://www.susep.gov.br/,,0,,The operation was aborted due to timeout
VG,British Virgin Islands,Financial Investigation Agency British Virgin Islands (FIA),financial_intelligence,http://fiabvi.vg/,reachable,200,https://fiabvi.vg/,British Virgin Islands Financial Investigation Agency > Home,20,https://fiabvi.vg/Analysis-Investigation/Section-4-Notices/Legal-Obligation;https://fiabvi.vg/Analysis-Investigation/Section-4-Notices/Enforcement;https://fiabvi.vg/Supervision-Enforcement;https://fiabvi.vg/Supervision-Enforcement/NPO/What-is-an-NPO;https://fiabvi.vg/Supervision-Enforcement/NPO/NPO-Obligations;https://fiabvi.vg/Supervision-Enforcement/NPO/Designated-Persons;https://fiabvi.vg/Supervision-Enforcement/NPO/Supervision-by-the-Agency;https://fiabvi.vg/Supervision-Enforcement/NPO/Relevant-Legislation;https://fiabvi.vg/Supervision-Enforcement/DNFBPs/What-is-a-DNFBP;https://fiabvi.vg/Supervision-Enforcement/DNFBPs/DNFBP-Obligations;https://fiabvi.vg/Supervision-Enforcement/DNFBPs/Registration;https://fiabvi.vg/Supervision-Enforcement/DNFBPs/Supervision-by-the-Agency;https://fiabvi.vg/Supervision-Enforcement/DNFBPs/Relevant-Legislation;https://fiabvi.vg/Supervision-Enforcement/DNFBPs/Registered-DNFBPs;https://fiabvi.vg/Supervision-Enforcement/Examinations-What-are-they;https://fiabvi.vg/Supervision-Enforcement/What-is-money-laundering;https://fiabvi.vg/Supervision-Enforcement/What-is-terrorist-financing;https://fiabvi.vg/Supervision-Enforcement/What-is-proliferation-financing;https://fiabvi.vg/Supervision-Enforcement/Documents-and-Forms;https://fiabvi.vg/Supervision-Enforcement/Documents-and-Forms/Guidance-Documents,
VG,British Virgin Islands,Financial Services Commission,prudential_supervision;securities;insurance,http://www.bvifsc.vg/,challenge-protected,403,https://www.bvifsc.vg/,Attention Required! | Cloudflare,0,,
BN,Brunei,Brunei Darussalam Central Bank,central_banking;securities;insurance;financial_intelligence,https://www.bdcb.gov.bn/,reachable,200,https://www.bdcb.gov.bn/,Home - BDCB,1,https://www.bdcb.gov.bn/regulatory/enforcement,
BG,Bulgaria,Bulgarian National Bank,central_banking;prudential_supervision,http://www.bnb.bg/,timeout,,http://www.bnb.bg/,,0,,The operation was aborted due to timeout
BG,Bulgaria,Financial Intelligence Directorate – State Agency for National Security (FID-SANS),financial_intelligence,http://www.dans.bg/en/msip-091209-menu-en,challenge-protected,403,https://www.dans.bg/en/msip-091209-menu-en,Just a moment...,0,,
BG,Bulgaria,Financial Supervision Commission,securities;insurance;pensions,http://www.fsc.bg/,network-error,,http://www.fsc.bg/,,0,,fetch failed
BF,Burkina Faso,Autorité des Marchés Financiers de l’UMOA,securities,http://www.crepmf.org/,timeout,,http://www.crepmf.org/,,0,,The operation was aborted due to timeout
BF,Burkina Faso,Central Bank of West African States (BCEAO),central_banking;prudential_supervision,https://www.bceao.int/en,reachable,200,https://www.bceao.int/en,BCEAO | Banque Centrale des Etats de l’Afrique de l’Ouest,1,https://www.bceao.int/en,
BF,Burkina Faso,Conférence Interafricaine des Marchés d'Assurances (CIMA),insurance,http://cima-afrique.org/,reachable,200,https://cima-afrique.org/,CIMA – Conférence Interafricaine des Marchés d’Assurance,2,https://cima-afrique.org/decisions-du-cma/;https://cima-afrique.org/decisions-de-la-crca/,
BF,Burkina Faso,The National Financial Information Processing Unit (CENTIF-BF) Burkina Faso,financial_intelligence,https://www.finances.gov.bf/attributions-et-missions/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=22&cHash=7617b644d576b1b7f9b4ff6f4067adf9,reachable,200,https://www.finances.gov.bf/attributions-et-missions/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=22&cHash=7617b644d576b1b7f9b4ff6f4067adf9,CENTIF - Ministère des finances,0,,
BI,Burundi,Agence de Régulation et de Contrôle des Assurances (ARCA),insurance,http://www.arca.bi/,reachable,200,http://www.arca.bi/,Site en maintenance,0,,
BI,Burundi,Bank of the Republic of Burundi,central_banking;prudential_supervision,https://www.brb.bi/en,challenge-protected,200,https://www.brb.bi/en,Welcome! | Banque de la République du Burundi,0,,
CV,Cabo Verde,Bank of Cape Verde,central_banking;prudential_supervision;securities;insurance,http://www.bcv.cv/,network-error,,http://www.bcv.cv/,,0,,fetch failed
CV,Cabo Verde,Cape Verde UIF (UIF),financial_intelligence,,no-public-website,,,,0,,
KH,Cambodia,Insurance Regulator of Cambodia,insurance,,no-public-website,,,,0,,
KH,Cambodia,Ministry of Labour and Vocational Training,pensions,https://www.mlvt.gov.kh/,reachable,200,https://www.mlvt.gov.kh/,Ministry of Labour and Vocational Training,0,,
KH,Cambodia,National Bank of Cambodia,central_banking;financial_intelligence,https://www.nbc.org.kh/english/,timeout,,https://www.nbc.org.kh/english/,,0,,The operation was aborted due to timeout
CM,Cameroon,Bank of Central African States,central_banking,https://www.beac.int/,challenge-protected,200,https://www.beac.int/,Accueil - BEAC,2,https://www.beac.int/politique-monetaire/decisions-de-politique-monetaire/;https://www.beac.int/p-des-changes/circulaires-et-decisions/,
CM,Cameroon,Commission de Surveillance du Marché Financier de l'Afrique Centrale (Securities and Exchange Commission of Central Africa),securities,http://www.cosumaf.org/,challenge-protected,403,https://www.cosumaf.org/,Just a moment...,0,,
CM,Cameroon,Conférence Interafricaine des Marchés d'Assurances (CIMA),insurance,http://cima-afrique.org/,reachable,200,https://cima-afrique.org/,CIMA – Conférence Interafricaine des Marchés d’Assurance,2,https://cima-afrique.org/decisions-du-cma/;https://cima-afrique.org/decisions-de-la-crca/,
CM,Cameroon,National Agency for Financial Investigation (NAFI),financial_intelligence,http://www.anif.cm/,reachable,200,https://anif.cm/,ANIF – Agence Nationale d'Investigation Financière,1,https://anif.cm/liste-des-sanctions-financieres-ciblees/,
